,,,,,,,,,,,,,,,,
TABLE 7. WOMEN,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Countries and areas,Life expectancy: females as a % of males,Adult literacy rate: females as a % of males,"Enrolment ratios: 
females as a % of males Primary GER","Enrolment ratios: 
females as a % of males Secondary GER",Survival rate to the last grade of primary: females as a % of males, Demand for family planning satisfied with modern methods (%) ,Antenatal care (%) At least one visit,Antenatal care (%) At least four visits,Delivery care (%) Skilled birth attendant,Delivery care (%) Institutional delivery,Delivery care (%) Csection,Postnatal health check (%)+ For newborns,Postnatal health check (%)+For mothers,Maternal mortality ratio† Reported,Maternal mortality ratio† Adjusted,Lifetime risk of maternal death (1 in:)
Turks and Caicos Islands,,,,,,,,,,,,,,,,
Tuvalu,,,101,128,,41,97,67,93,93,7,,,0,,
Uganda,108,78,102,91,103,48,97,60,57,73,5,11,54,340,343,47
Ukraine,115,100,102,98,100,68,99,87,99,99,12,99,96,14,24,"2,600"
United Arab Emirates,103,102,99,,103,,100,,100,100,,,,0,6,"7,900"
United Kingdom,105,,100,104,,,,,,,26,,,,9,"5,800"
United Republic of Tanzania,106,88,103,91,115,53,91,51,64,63,6,42,34,560,398,45
United States,106,,100,102,,83,,97,99,,31,,,28,14,"3,800"
Uruguay,110,101,98,111,101,,97,77,100,100,30,,,17,15,"3,300"
Uzbekistan,108,100,96,98,101,,99,,100,100,14,,,19,36,"1,000"
Vanuatu,106,,98,106,,51,76,52,89,89,12,,,86,78,360
Venezuela (Bolivarian Republic of),112,100,97,108,100,,98,84,100,99,52,,,69,95,420
Viet Nam,113,95,99,,104,70,96,74,94,94,28,89,90,67,54,870
Yemen,105,,84,69,93,47,60,25,45,30,5,11,20,150,385,60
Zambia,108,88,101,,94,64,96,56,63,67,4,16,63,400,224,79
Zimbabwe,106,99,98,98,104,85,93,76,78,77,6,73,57,650,443,52
