,Country,% Internet Use,% Women in Govt,G to B in Primary Ed,G to B Secondary Education,G to B Tertiary Education,Population mid-year estimates (millions),Population mid-year estimates for males (millions),Population mid-year estimates for females (millions),Sex ratio (males per 100 females),Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Surface area (thousand km2),GDP in current prices (millions of US dollars),GDP per capita (US dollars),GDP in constant 2010 prices (millions of US dollars),GDP real rates of growth (percent)
72,Gabon,,,,,,,,,,,,,,"14,372","7,446","18,527",3.9
73,Gambia,,,,,,,,,,,,,,"1,394",705,"1,603",5.9
74,Georgia,,,,,,,,,,,,,,"13,993","3,541","14,768",2.9
75,Germany,,,,,,,,,,,,,,"3,381,389","41,384","3,718,482",1.7
76,Ghana,,,,,,,,,,,,,,"49,182","1,783","59,891",2.2
77,Greece,,,,,,,,,,,,,,"196,591","17,525","244,719",-0.4
78,Greenland,,,,,,,,,,,,,,"2,499","44,329","2,544",-2.5
79,Grenada,,,,,,,,,,,,,,997,"9,333",898,6.4
80,Guatemala,,,,,,,,,,,,,,"63,767","3,924","49,879",4.1
81,Guinea,,,,,,,,,,,,,,"8,794",727,"8,579",3.8
82,Guinea-Bissau,,,,,,,,,,,,,,"1,047",592,998,6.1
83,Guyana,,,,,,,,,,,,,,"3,166","4,120","2,813",3.1
84,Haiti,,,,,,,,,,,,,,"8,355",780,"7,899",1.2
85,Honduras,,,,,,,,,,,,,,"20,980","2,341","18,839",3.8
86,Hungary,,,,,,,,,,,,,,"123,074","12,579","144,236",3.5
87,Iceland,,,,,,,,,,,,,,"17,344","52,519","15,682",4.5
88,India,,,,,,,,,,,,,,"2,145,537","1,639","2,290,085",8.2
89,Indonesia,,,,,,,,,,,,,,"860,854","3,335","988,129",4.9
90,Iran (Islamic Republic of),,,,,,,,,,,,,,"393,436","4,958","480,662",-1.3
91,Iraq,,,,,,,,,,,,,,"161,316","4,467","190,599",3.8
92,Ireland,,,,,,,,,,,,,,"291,092","61,933","316,887",25.8
93,Israel,,,,,,,,,,,,,,"300,471","37,258","279,247",2.6
94,Italy,,,,,,,,,,,,,,"1,832,273","30,792","2,062,368",0.9
95,Jamaica,,,,,,,,,,,,,,"14,187","4,940","13,643",0.9
96,Japan,,,,,,,,,,,,,,"4,394,978","34,342","5,996,414",1.4
97,Jordan,,,,,,,,,,,,,,"37,923","4,140","30,218",2.6
98,Kazakhstan,,,,,,,,,,,,,,"184,388","10,388","188,652",1.2
99,Kenya,,,,,,,,,,,,,,"64,008","1,355","52,339",5.7
100,Kiribati,,,,,,,,,,,,,,169,"1,505",190,10.3
101,Kosovo,,,,,,,,,,,,,,"6,440","3,668","6,819",4.1
102,Kuwait,,,,,,,,,,,,,,"114,586","29,114","137,959",0.6
103,Kyrgyzstan,,,,,,,,,,,,,,"6,678","1,139","6,083",3.9
104,Lao People's Dem. Rep.,,,,,,,,,,,,,,"14,390","2,159","10,631",7.3
105,Latvia,,,,,,,,,,,,,,"26,973","13,536","28,257",3.0
106,Lebanon,,,,,,,,,,,,,,"49,974","8,540","41,813",0.4
107,Lesotho,,,,,,,,,,,,,,"2,506","1,152","2,911",2.5
108,Liberia,,,,,,,,,,,,,,"2,669",593,"1,871",9.3
109,Libya,,,,,,,,,,,,,,"17,666","2,833","9,171",-45.5
110,Liechtenstein,,,,,,,,,,,,,,"6,269","167,594","5,892",0.0
111,Lithuania,,,,,,,,,,,,,,"41,517","14,160","44,693",2.0
112,Luxembourg,,,,,,,,,,,,,,"57,204","100,936","61,082",3.9
113,Madagascar,,,,,,,,,,,,,,"11,243",464,"11,659",3.5
114,Malawi,,,,,,,,,,,,,,"6,430",366,"8,453",3.3
115,Malaysia,,,,,,,,,,,,,,"296,636","9,655","330,323",5.1
116,Maldives,,,,,,,,,,,,,,"4,109","9,822","3,413",2.9
117,Mali,,,,,,,,,,,,,,"13,095",750,"15,885",7.6
118,Malta,,,,,,,,,,,,,,"10,563","24,703","11,272",9.5
119,Marshall Islands,,,,,,,,,,,,,,179,"3,386",177,0.6
120,Mauritania,,,,,,,,,,,,,,"4,833","1,155","5,432",0.9
121,Mauritius,,,,,,,,,,,,,,"11,692","9,284","11,965",3.6
122,Mexico,,,,,,,,,,,,,,"1,170,567","9,298","1,223,115",3.3
123,Micronesia (Fed. States of),,,,,,,,,,,,,,315,"3,018",296,4.9
124,Monaco,,,,,,,,,,,,,,"6,259","163,394","7,146",4.9
125,Mongolia,,,,,,,,,,,,,,"11,750","3,947","11,680",2.4
126,Montenegro,,,,,,,,,,,,,,"4,053","6,452","4,529",3.4
127,Montserrat,,,,,,,,,,,,,,61,"11,979",64,-1.9
128,Morocco,,,,,,,,,,,,,,"101,179","2,907","116,048",4.9
129,Mozambique,,,,,,,,,,,,,,"14,798",528,"14,308",6.6
130,Myanmar,,,,,,,,,,,,,,"62,543","1,193","58,845",7.0
131,Namibia,,,,,,,,,,,,,,"11,657","4,806","14,846",6.1
132,Nauru,,,,,,,,,,,,,,90,"7,955",162,2.8
133,Nepal,,,,,,,,,,,,,,"20,801",726,"20,119",3.3
134,Netherlands,,,,,,,,,,,,,,"765,265","45,179","881,474",2.3
135,New Caledonia,,,,,,,,,,,,,,"9,174","34,094","10,834",3.6
136,New Zealand,,,,,,,,,,,,,,"177,208","38,402","170,509",4.5
137,Nicaragua,,,,,,,,,,,,,,"12,611","2,073","11,423",4.8
138,Niger,,,,,,,,,,,,,,"7,249",364,"7,726",4.3
139,Nigeria,,,,,,,,,,,,,,"494,583","2,730","464,282",2.7
140,North Macedonia,,,,,,,,,,,,,,"10,065","4,840","10,616",3.9
141,Norway,,,,,,,,,,,,,,"386,663","74,361","467,661",2.0
142,Oman,,,,,,,,,,,,,,"68,921","16,411","71,221",4.7
143,Pakistan,,,,,,,,,,,,,,"267,035","1,410","212,404",4.7
144,Palau,,,,,,,,,,,,,,293,"13,768",225,10.1
145,Panama,,,,,,,,,,,,,,"54,316","13,684","42,661",5.6
146,Papua New Guinea,,,,,,,,,,,,,,"22,962","2,899","18,771",6.9
147,Paraguay,,,,,,,,,,,,,,"27,283","4,109","25,402",3.0
148,Peru,,,,,,,,,,,,,,"189,924","6,053","186,291",3.3
149,Philippines,,,,,,,,,,,,,,"292,774","2,878","266,056",6.1
150,Poland,,,,,,,,,,,,,,"477,577","12,481","556,361",3.8
151,Portugal,,,,,,,,,,,,,,"199,420","19,141","228,052",1.8
152,Puerto Rico,,,,,,,,,,,,,,"103,376","28,139","95,579",-1.0
153,Qatar,,,,,,,,,,,,,,"164,641","66,347","166,430",3.6
154,Republic of Korea,,,,,,,,,,,,,,"1,382,764","27,331","1,268,781",2.8
155,Republic of Moldova,,,,,,,,,,,,,,"6,513","1,602","7,034",-0.4
156,Romania,,,,,,,,,,,,,,"177,913","8,951","191,009",4.0
157,Russian Federation,,,,,,,,,,,,,,"1,368,402","9,510","1,663,126",-2.5
158,Rwanda,,,,,,,,,,,,,,"8,278",712,"8,307",8.9
159,Saint Kitts and Nevis,,,,,,,,,,,,,,865,"15,937",840,4.0
160,Saint Lucia,,,,,,,,,,,,,,"1,622","9,156","1,439",-0.9
161,Saint Vincent & Grenadines,,,,,,,,,,,,,,757,"6,915",720,1.8
162,Samoa,,,,,,,,,,,,,,774,"3,995",725,2.9
163,San Marino,,,,,,,,,,,,,,"1,570","47,627","1,729",0.5
164,Sao Tome and Principe,,,,,,,,,,,,,,316,"1,613",247,3.9
165,Saudi Arabia,,,,,,,,,,,,,,"654,270","20,733","678,730",4.1
166,Senegal,,,,,,,,,,,,,,"17,761","1,186","20,351",6.4
167,Serbia,,,,,,,,,,,,,,"37,160","5,237","40,184",0.8
168,Seychelles,,,,,,,,,,,,,,"1,377","14,695","1,232",4.9
169,Sierra Leone,,,,,,,,,,,,,,"4,248",587,"3,168",-20.5
170,Singapore,,,,,,,,,,,,,,"304,092","54,937","292,165",2.2
171,Sint Maarten (Dutch part),,,,,,,,,,,,,,"1,066","27,521",942,0.5
172,Slovakia,,,,,,,,,,,,,,"87,770","16,136","101,628",4.2
173,Slovenia,,,,,,,,,,,,,,"43,102","20,774","48,978",2.3
174,Solomon Islands,,,,,,,,,,,,,,"1,059","1,803",849,2.5
175,Somalia,,,,,,,,,,,,,,"1,455",105,"1,257",2.7
176,South Africa,,,,,,,,,,,,,,"317,536","5,743","418,897",1.3
177,South Sudan,,,,,,,,,,,,,,"13,408","1,128","12,556",5.1
178,Spain,,,,,,,,,,,,,,"1,199,084","25,844","1,420,987",3.6
179,Sri Lanka,,,,,,,,,,,,,,"80,604","3,891","76,486",5.0
180,State of Palestine,,,,,,,,,,,,,,"12,673","2,718","11,238",3.4
181,Sudan,,,,,,,,,,,,,,"83,085","2,150","57,686",3.0
182,Suriname,,,,,,,,,,,,,,"4,826","8,725","4,773",-2.6
183,Sweden,,,,,,,,,,,,,,"498,118","51,018","543,061",4.5
184,Switzerland,,,,,,,,,,,,,,"679,832","81,713","634,045",1.3
185,Syrian Arab Republic,,,,,,,,,,,,,,"19,090","1,019","27,492",-6.1
186,Tajikistan,,,,,,,,,,,,,,"7,855",919,"7,547",6.0
187,Thailand,,,,,,,,,,,,,,"401,399","5,846","394,078",3.0
188,Timor-Leste,,,,,,,,,,,,,,"3,104","2,502","3,734",20.9
189,Togo,,,,,,,,,,,,,,"4,178",563,"4,616",5.7
190,Tonga,,,,,,,,,,,,,,402,"3,778",398,3.7
191,Trinidad and Tobago,,,,,,,,,,,,,,"24,402","17,942","22,784",1.5
192,Tunisia,,,,,,,,,,,,,,"43,152","3,828","47,587",1.2
193,Turkey,,,,,,,,,,,,,,"859,794","10,985","1,087,840",6.1
194,Turkmenistan,,,,,,,,,,,,,,"36,052","6,478","37,230",6.5
195,Turks and Caicos Islands,,,,,,,,,,,,,,894,"26,020",802,5.9
196,Tuvalu,,,,,,,,,,,,,,35,"3,185",38,9.2
197,Uganda,,,,,,,,,,,,,,"25,098",625,"24,893",5.7
198,Ukraine,,,,,,,,,,,,,,"91,031","2,038","121,203",-9.8
199,United Arab Emirates,,,,,,,,,,,,,,"358,135","39,122","373,073",5.1
200,United Kingdom,,,,,,,,,,,,,,"2,896,421","44,290","2,719,581",2.3
201,United Rep. of Tanzania,,,,,,,,,,,,,,"45,628",870,"43,307",7.0
202,United States of America,,,,,,,,,,,,,,"18,219,297","56,948","16,710,458",2.9
203,Uruguay,,,,,,,,,,,,,,"53,274","15,525","47,559",0.4
204,Uzbekistan,,,,,,,,,,,,,,"66,904","2,160","58,274",7.9
205,Vanuatu,,,,,,,,,,,,,,760,"2,871",754,0.2
206,Venezuela (Boliv. Rep. of),,,,,,,,,,,,,,"344,375","11,054","395,794",-6.2
207,Viet Nam,,,,,,,,,,,,,,"193,241","2,065","154,509",6.7
208,Yemen,,,,,,,,,,,,,,"26,660",990,"17,313",-30.3
209,Zambia,,,,,,,,,,,,,,"21,243","1,319","26,058",2.9
210,Zanzibar,,,,,,,,,,,,,,"1,160",795,"1,044",0.6
211,Zimbabwe,,,,,,,,,,,,,,"16,305","1,033","14,728",1.7
